"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","1990",7.602,
"AUS","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","1995",7.496,
"AUS","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2000",7.366,
"AUS","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2005",6.91,
"AUS","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2010",6.787,
"AUS","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2011",6.712,
"AUS","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2012",7.001,
"AUS","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2013",6.965,
"AUS","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2014",6.877,
"AUS","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2015",6.848,
"AUS","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2016",6.822,
"AUS","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2017",6.673,
"AUS","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2018",6.741,
"AUS","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2019",6.749,
"AUT","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","1990",21.558,
"AUT","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","1995",20.368,
"AUT","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2000",17.429,
"AUT","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2005",16.554,
"AUT","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2010",15.872,
"AUT","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2011",16.252,
"AUT","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2012",14.63,
"AUT","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2013",14.622,
"AUT","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2014",12.913,
"AUT","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2015",13.453,
"AUT","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2016",12.391,
"AUT","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2017",12.023,
"AUT","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2018",12.385,
"AUT","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2019",12.225,
"BEL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","1990",21.014,
"BEL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","1995",19.684,
"BEL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2000",17.751,
"BEL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2005",15.901,
"BEL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2010",16.982,
"BEL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2011",16.243,
"BEL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2012",15.201,
"BEL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2013",14.305,
"BEL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2014",12.908,
"BEL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2015",13.265,
"BEL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2016",12.437,
"BEL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2017",12.891,
"BEL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2018",12.82,
"BEL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2019",12.726,
"CAN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","1990",10.076,
"CAN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","1995",9.731,
"CAN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2000",9.204,
"CAN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2005",9.02,
"CAN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2010",7.902,
"CAN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2011",7.349,
"CAN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2012",7.611,
"CAN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2013",7.282,
"CAN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2014",7.498,
"CAN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2015",7.283,
"CAN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2016",6.207,
"CAN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2017",7.278,
"CAN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2018",7.073,
"CAN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2019",7.09,
"CZE","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","1990",26.573,
"CZE","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","1995",25.409,
